model	options	test	p_value	effect_size	num_targ1	num_targ2	num_attr1	num_attr2
bert	version=bert-large-cased	sent-angry_black_woman_stereotype_b	0.92966	-0.2880643862357131	52	52	54	54
bert	version=bert-large-cased	sent-heilman_double_bind_competent_one_word	0.01393	0.3875193428552761	64	64	30	30
bert	version=bert-large-cased	sent-heilman_double_bind_likable_one_word	0.97832	-0.35478314671119093	64	64	24	24
bert	version=bert-large-cased	sent-weat10	0.22768	0.13078541204207592	64	64	40	47
bert	version=bert-large-cased	sent-weat1	1e-05	0.6246818299936401	350	350	215	250
bert	version=bert-large-cased	sent-weat2	0.00267	0.21590610445334357	330	330	215	250
bert	version=bert-large-cased	sent-weat3	0.29892	0.04621910912655084	256	256	215	249
bert	version=bert-large-cased	sent-weat3b	0.97731	-0.20305746705462288	195	195	215	249
bert	version=bert-large-cased	sent-weat4	0.6098	-0.0347655140091202	128	128	215	249
bert	version=bert-large-cased	sent-weat5	0.27727	0.07383501180030796	128	128	40	47
bert	version=bert-large-cased	sent-weat5b	0.88225	-0.12089540718954349	195	195	40	47
bert	version=bert-large-cased	sent-weat6	0.32978	0.07824117828307758	64	64	101	112
bert	version=bert-large-cased	sent-weat6b	0.82523	-0.14850689374115328	80	80	101	112
bert	version=bert-large-cased	sent-weat7	1e-05	0.9163228066454007	72	72	80	80
bert	version=bert-large-cased	sent-weat7b	0.96057	-0.2929746618866639	72	72	64	64
bert	version=bert-large-cased	sent-weat8	0.14465	0.2010475774571668	56	56	80	80
bert	version=bert-large-cased	sent-weat8b	0.75438	-0.13108848079169227	56	56	64	64
bert	version=bert-large-cased	sent-weat9	0.47556	0.023203738000697468	18	18	21	23
bert	version=bert-large-cased	weat10	0.8355866355866356	-0.5026122017270593	8	8	8	8
bert	version=bert-large-cased	weat1	0.21798	0.22264137372346646	25	25	25	25
bert	version=bert-large-cased	weat2	0.06005	0.43832220245393594	25	25	25	25
bert	version=bert-large-cased	weat3	0.66728	-0.10700720396493796	32	32	25	25
bert	version=bert-large-cased	weat3b	0.66847	-0.16467375691773023	15	15	25	25
bert	version=bert-large-cased	weat4	0.05119	0.5839736481541786	16	16	25	25
bert	version=bert-large-cased	weat5	0.04434	0.6014080880874422	16	16	8	8
bert	version=bert-large-cased	weat5b	0.75678	-0.26001192101577575	15	15	8	8
bert	version=bert-large-cased	weat6	0.33815073815073815	0.2118761909664055	8	8	8	8
bert	version=bert-large-cased	weat6b	0.8514374514374514	-0.5314500567625848	8	8	8	8
bert	version=bert-large-cased	weat7	0.3856254856254856	0.21185452939359312	8	8	8	8
bert	version=bert-large-cased	weat7b	0.7037296037296037	-0.287717475854988	8	8	8	8
bert	version=bert-large-cased	weat8	0.19968919968919968	0.4272372209450997	8	8	8	8
bert	version=bert-large-cased	weat8b	0.7512820512820513	-0.33712985741013474	8	8	8	8
bert	version=bert-large-cased	weat9	0.4935064935064935	0.014938599870585326	6	6	7	7
bert	version=bert-large-uncased	angry_black_woman_stereotype	0.09831	0.4756156312816908	15	15	18	18
bert	version=bert-large-uncased	angry_black_woman_stereotype_b	0.7285714285714285	-0.5399215691821712	4	4	18	18
bert	version=bert-large-uncased	heilman_double_bind_competent_1	0.20388500388500388	0.42745272969825543	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_competent_1-	0.9987567987567988	-1.4341587358409107	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_competent_1+3-	1.0	-1.8213964557014553	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_competent_one_sentence	0.47606837606837604	0.226369337204616	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_competent_one_word	0.9606837606837607	-0.8778147290026244	8	8	10	10
bert	version=bert-large-uncased	heilman_double_bind_likable_1	0.05244755244755245	0.8135373819651907	8	8	8	8
bert	version=bert-large-uncased	heilman_double_bind_likable_1-	1.0	-1.847363137599446	8	8	8	8
bert	version=bert-large-uncased	heilman_double_bind_likable_1+3-	1.0	-1.81392613358984	8	8	8	8
bert	version=bert-large-uncased	heilman_double_bind_likable_one_sentence	0.029292929292929294	0.9309461722739364	8	8	8	8
bert	version=bert-large-uncased	heilman_double_bind_likable_one_word	0.44545454545454544	0.220376407187866	8	8	8	8
bert	version=bert-large-uncased	sent-angry_black_woman_stereotype	0.62997	-0.0435047092398624	120	120	54	54
bert	version=bert-large-uncased	sent-angry_black_woman_stereotype_b	0.04538	0.332714861485126	52	52	54	54
bert	version=bert-large-uncased	sent-heilman_double_bind_competent_one_word	0.76684	-0.12926599564924554	64	64	30	30
bert	version=bert-large-uncased	sent-heilman_double_bind_likable_one_word	0.15402	0.17988613606469106	64	64	24	24
bert	version=bert-large-uncased	sent-weat10	0.4236	0.0341581264271246	64	64	40	47
bert	version=bert-large-uncased	sent-weat1	0.22087	0.058333899733810896	350	350	215	250
bert	version=bert-large-uncased	sent-weat2	0.93657	-0.1189735618262252	330	330	215	250
bert	version=bert-large-uncased	sent-weat3	0.04774	0.14741175357493416	256	256	215	249
bert	version=bert-large-uncased	sent-weat3b	0.00019	0.3561831736768467	195	195	215	249
bert	version=bert-large-uncased	sent-weat4	0.12222	0.14426076962889542	128	128	215	249
bert	version=bert-large-uncased	sent-weat5	0.74859	-0.08392006685159094	128	128	40	47
bert	version=bert-large-uncased	sent-weat5b	1e-05	0.4388665596483352	195	195	40	47
bert	version=bert-large-uncased	sent-weat6	0.39107	0.05081085691886314	64	64	101	112
bert	version=bert-large-uncased	sent-weat6b	0.5311	-0.012346770543519663	80	80	101	112
bert	version=bert-large-uncased	sent-weat7	0.19253	0.1438555758729831	72	72	80	80
bert	version=bert-large-uncased	sent-weat7b	0.49903	-0.0001440846238053655	72	72	64	64
bert	version=bert-large-uncased	sent-weat8	0.58911	-0.04297170657007151	56	56	80	80
bert	version=bert-large-uncased	sent-weat8b	0.65146	-0.071891626037406	56	56	64	64
bert	version=bert-large-uncased	sent-weat9	0.15525	0.31248278345728114	18	18	21	23
bert	version=bert-large-uncased	weat10	0.7068376068376069	-0.3180906271492228	8	8	8	8
bert	version=bert-large-uncased	weat1	0.78664	-0.22769199629411824	25	25	25	25
bert	version=bert-large-uncased	weat2	0.99908	-0.8268971477188771	25	25	25	25
bert	version=bert-large-uncased	weat3	0.18854	0.2222755010892408	32	32	25	25
bert	version=bert-large-uncased	weat3b	0.99733	-0.9779896077696865	15	15	25	25
bert	version=bert-large-uncased	weat4	0.10984	0.4432339820752719	16	16	25	25
bert	version=bert-large-uncased	weat5	0.68735	-0.17998195299657482	16	16	8	8
bert	version=bert-large-uncased	weat5b	0.09704	0.477738052759119	15	15	8	8
bert	version=bert-large-uncased	weat6	0.1128982128982129	0.6301080166400771	8	8	8	8
bert	version=bert-large-uncased	weat6b	0.07575757575757576	0.6997039130843795	8	8	8	8
bert	version=bert-large-uncased	weat7	0.10971250971250972	0.727514811514015	8	8	8	8
bert	version=bert-large-uncased	weat7b	0.1515928515928516	0.6797600809652115	8	8	8	8
bert	version=bert-large-uncased	weat8	0.25252525252525254	0.35859484432661737	8	8	8	8
bert	version=bert-large-uncased	weat8b	0.24825174825174826	0.3530947802400093	8	8	8	8
bert	version=bert-large-uncased	weat9	0.5032467532467533	-0.0032752584852857422	6	6	7	7
bow		angry_black_woman_stereotype	0.00072	1.095344821867769	15	15	18	18
bow		angry_black_woman_stereotype_b	0.5142857142857142	-0.037503015011628595	4	4	18	18
bow		heilman_double_bind_competent_1	0.10567210567210568	0.6645681599336647	8	8	10	10
bow		heilman_double_bind_competent_1-	0.13317793317793317	0.5901220227354127	8	8	10	10
bow		heilman_double_bind_competent_1+3-	0.2066045066045066	0.43379062907695487	8	8	10	10
bow		heilman_double_bind_competent_one_sentence	0.048873348873348876	0.8354037000382043	8	8	10	10
bow		heilman_double_bind_competent_one_word	7.77000777000777e-05	1.6241440674652927	8	8	10	10
bow		heilman_double_bind_likable_1	0.13364413364413363	0.5853680463619089	8	8	8	8
bow		heilman_double_bind_likable_1-	7.77000777000777e-05	1.5880126660067504	8	8	8	8
bow		heilman_double_bind_likable_1+3-	0.0001554001554001554	1.472927456058595	8	8	8	8
bow		heilman_double_bind_likable_one_sentence	0.16713286713286712	0.5060948051385065	8	8	8	8
bow		heilman_double_bind_likable_one_word	0.0009324009324009324	1.2860305321865617	8	8	8	8
bow		sent-angry_black_woman_stereotype	1e-05	0.6168527559075829	120	120	54	54
bow		sent-angry_black_woman_stereotype_b	0.16582	0.1907390117986805	52	52	54	54
bow		sent-heilman_double_bind_competent_one_word	1e-05	0.7931917100072182	64	64	30	30
bow		sent-heilman_double_bind_likable_one_word	4e-05	0.6897390121499783	64	64	24	24
bow		sent-weat1	1e-05	1.555480581083209	350	350	215	250
bow		sent-weat10	0.00229	0.49575305034028894	64	64	40	47
bow		sent-weat2	1e-05	1.2749452829222945	330	330	215	250
bow		sent-weat3	1e-05	0.5201126169859963	256	256	215	249
bow		sent-weat3b	0.08636	0.13837417568672844	195	195	215	249
bow		sent-weat4	1e-05	0.5497548697185468	128	128	215	249
bow		sent-weat5	0.00155	0.36452593756925844	128	128	40	47
bow		sent-weat5b	0.68738	-0.049296816559202275	195	195	40	47
bow		sent-weat6	1e-05	1.743843134701947	64	64	101	112
bow		sent-weat6b	0.00606	0.396204812662749	80	80	101	112
bow		sent-weat7	1e-05	0.7730903202639864	72	72	80	80
bow		sent-weat7b	1e-05	1.5092768427319647	72	72	64	64
bow		sent-weat8	1e-05	1.012025012467251	56	56	80	80
bow		sent-weat8b	1e-05	1.394594810344009	56	56	64	64
bow		sent-weat9	0.12661	0.3884405735154991	18	18	21	23
bow		weat1	1e-05	1.5043154927647697	25	25	25	25
bow		weat10	0.005128205128205128	1.2128907133270523	8	8	8	8
bow		weat2	1e-05	1.5339887035184903	25	25	25	25
bow		weat3	1e-05	1.4052075375830486	32	32	25	25
bow		weat3b	0.07589	0.5263116922557048	15	15	25	25
bow		weat4	1e-05	1.4985823551734032	16	16	25	25
bow		weat5	3e-05	1.2839296664351412	16	16	8	8
bow		weat5b	0.60612	-0.10080798877283878	15	15	8	8
bow		weat6	7.77000777000777e-05	1.8139146236810442	8	8	8	8
bow		weat6b	0.1414918414918415	0.5485746777613701	8	8	8	8
bow		weat7	0.015695415695415695	1.0550147873162647	8	8	8	8
bow		weat7b	7.77000777000777e-05	1.6138439475984263	8	8	8	8
bow		weat8	0.00473970473970474	1.2374533926249005	8	8	8	8
bow		weat8b	0.0004662004662004662	1.5203743940205117	8	8	8	8
bow		weat9	0.004329004329004329	1.3827549262269898	6	6	7	7
elmo	time_combine=max;layer_combine=add	angry_black_woman_stereotype	0.0495	0.6012713814182642	15	15	18	18
elmo	time_combine=max;layer_combine=add	angry_black_woman_stereotype_b	0.42857142857142855	0.10615779869328823	4	4	18	18
elmo	time_combine=max;layer_combine=add	heilman_double_bind_competent_1-	0.7638694638694639	-0.37152997658269776	8	8	10	10
elmo	time_combine=max;layer_combine=add	heilman_double_bind_competent_1	0.93993783993784	-0.785432388292876	8	8	10	10
elmo	time_combine=max;layer_combine=add	heilman_double_bind_competent_1+3-	0.39463869463869466	0.13616570934669553	8	8	10	10
elmo	time_combine=max;layer_combine=add	heilman_double_bind_competent_one_sentence	0.7751359751359751	-0.4007909552410239	8	8	10	10
elmo	time_combine=max;layer_combine=add	heilman_double_bind_competent_one_word	0.705050505050505	-0.2812796426743114	8	8	10	10
elmo	time_combine=max;layer_combine=add	heilman_double_bind_likable_1	0.3073815073815074	0.2656171109135018	8	8	8	8
elmo	time_combine=max;layer_combine=add	heilman_double_bind_likable_1-	0.5396270396270396	-0.06428652749981428	8	8	8	8
elmo	time_combine=max;layer_combine=add	heilman_double_bind_likable_1+3-	0.27334887334887337	0.3333522788681902	8	8	8	8
elmo	time_combine=max;layer_combine=add	heilman_double_bind_likable_one_sentence	0.9038073038073038	-0.7392709922612873	8	8	8	8
elmo	time_combine=max;layer_combine=add	heilman_double_bind_likable_one_word	0.7712509712509712	-0.39064124834261377	8	8	8	8
elmo	time_combine=max;layer_combine=add	sent-angry_black_woman_stereotype	1e-05	0.6313906113707431	120	120	54	54
elmo	time_combine=max;layer_combine=add	sent-angry_black_woman_stereotype_b	0.83829	-0.19489231035360827	52	52	54	54
elmo	time_combine=max;layer_combine=add	sent-heilman_double_bind_competent_one_word	0.35284	0.06783327633746769	64	64	30	30
elmo	time_combine=max;layer_combine=add	sent-heilman_double_bind_likable_one_word	0.99998	-0.6823675459678674	64	64	24	24
elmo	time_combine=max;layer_combine=add	sent-weat10	0.03004	0.333633077557142	64	64	40	47
elmo	time_combine=max;layer_combine=add	sent-weat1	2e-05	0.3230182698725378	350	350	215	250
elmo	time_combine=max;layer_combine=add	sent-weat2	0.03814	0.13800161549165632	330	330	215	250
elmo	time_combine=max;layer_combine=add	sent-weat3	0.99999	-0.3646258375078211	256	256	215	249
elmo	time_combine=max;layer_combine=add	sent-weat3b	0.95684	-0.17338134542807287	195	195	215	249
elmo	time_combine=max;layer_combine=add	sent-weat4	0.99526	-0.32601346601476483	128	128	215	249
elmo	time_combine=max;layer_combine=add	sent-weat5	1e-05	0.6243165070725899	128	128	40	47
elmo	time_combine=max;layer_combine=add	sent-weat5b	0.71577	-0.058045485595721244	195	195	40	47
elmo	time_combine=max;layer_combine=add	sent-weat6	0.99982	-0.6229969021354452	64	64	101	112
elmo	time_combine=max;layer_combine=add	sent-weat6b	0.31395	0.07739383120265088	80	80	101	112
elmo	time_combine=max;layer_combine=add	sent-weat7	0.14871	0.1752937205392901	72	72	80	80
elmo	time_combine=max;layer_combine=add	sent-weat7b	0.83058	-0.15930381714740824	72	72	64	64
elmo	time_combine=max;layer_combine=add	sent-weat8	0.10008	0.24025104538886138	56	56	80	80
elmo	time_combine=max;layer_combine=add	sent-weat8b	0.01699	0.4005811861373826	56	56	64	64
elmo	time_combine=max;layer_combine=add	sent-weat9	0.162	0.3341030287132353	18	18	21	23
elmo	time_combine=max;layer_combine=add	weat10	0.2874902874902875	0.30736304434844486	8	8	8	8
elmo	time_combine=max;layer_combine=add	weat1	0.72517	-0.17224105126627204	25	25	25	25
elmo	time_combine=max;layer_combine=add	weat2	0.19271	0.24858018663577497	25	25	25	25
elmo	time_combine=max;layer_combine=add	weat3	0.87417	-0.2878801089725692	32	32	25	25
elmo	time_combine=max;layer_combine=add	weat3b	0.99806	-1.0141336260466756	15	15	25	25
elmo	time_combine=max;layer_combine=add	weat4	0.56381	-0.05948915509351147	16	16	25	25
elmo	time_combine=max;layer_combine=add	weat5	0.11503	0.431106439287724	16	16	8	8
elmo	time_combine=max;layer_combine=add	weat5b	0.86038	-0.4030413909370098	15	15	8	8
elmo	time_combine=max;layer_combine=add	weat6	0.9264957264957265	-0.7274855043315464	8	8	8	8
elmo	time_combine=max;layer_combine=add	weat6b	0.7268842268842269	-0.31367146307693655	8	8	8	8
elmo	time_combine=max;layer_combine=add	weat7	0.7802641802641803	-0.40244614658030803	8	8	8	8
elmo	time_combine=max;layer_combine=add	weat7b	0.5507381507381507	-0.06631347517524151	8	8	8	8
elmo	time_combine=max;layer_combine=add	weat8	0.4292152292152292	0.09139397207177238	8	8	8	8
elmo	time_combine=max;layer_combine=add	weat8b	0.30753690753690754	0.2618730193895712	8	8	8	8
elmo	time_combine=max;layer_combine=add	weat9	0.8852813852813853	-0.7084398927486434	6	6	7	7
elmo	time_combine=max;layer_combine=concat	angry_black_woman_stereotype	0.03978	0.6368599772947142	15	15	18	18
elmo	time_combine=max;layer_combine=concat	angry_black_woman_stereotype_b	0.7571428571428571	-0.5159648181282451	4	4	18	18
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_competent_1-	0.7679098679098679	-0.4171947398100591	8	8	10	10
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_competent_1	0.8485625485625485	-0.5465343259320169	8	8	10	10
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_competent_1+3-	0.3037296037296037	0.2818916469063012	8	8	10	10
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_competent_one_sentence	0.4857031857031857	0.019678087723142966	8	8	10	10
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_competent_one_word	0.6906759906759907	-0.2609460453372728	8	8	10	10
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_likable_1-	0.3815850815850816	0.1561991724774727	8	8	8	8
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_likable_1	0.6672882672882673	-0.21766903198543505	8	8	8	8
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_likable_1+3-	0.12672882672882674	0.5846186442818	8	8	8	8
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_likable_one_sentence	0.9857808857808857	-0.8314786883693533	8	8	8	8
elmo	time_combine=max;layer_combine=concat	heilman_double_bind_likable_one_word	0.814996114996115	-0.47399473038379136	8	8	8	8
elmo	time_combine=max;layer_combine=concat	sent-angry_black_woman_stereotype	1e-05	0.5751203790935309	120	120	54	54
elmo	time_combine=max;layer_combine=concat	sent-angry_black_woman_stereotype_b	0.92727	-0.2860108003889166	52	52	54	54
elmo	time_combine=max;layer_combine=concat	sent-heilman_double_bind_competent_one_word	0.3987	0.04638758997677714	64	64	30	30
elmo	time_combine=max;layer_combine=concat	sent-heilman_double_bind_likable_one_word	0.99985	-0.6252931580450171	64	64	24	24
elmo	time_combine=max;layer_combine=concat	sent-weat10	0.03857	0.3131940224461497	64	64	40	47
elmo	time_combine=max;layer_combine=concat	sent-weat1	1e-05	0.36215915489003636	350	350	215	250
elmo	time_combine=max;layer_combine=concat	sent-weat2	0.00063	0.2478794162135763	330	330	215	250
elmo	time_combine=max;layer_combine=concat	sent-weat3	0.99989	-0.32546329487757475	256	256	215	249
elmo	time_combine=max;layer_combine=concat	sent-weat3b	0.99927	-0.32222288170736496	195	195	215	249
